gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_amplification_cases	cohort_cnv_amplification_cases_percentage	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_heterozygous_deletion_cases	cohort_cnv_heterozygous_deletion_cases_percentage	num_cohort_cnv_homozygous_deletion_cases	cohort_cnv_homozygous_deletion_cases_percentage	num_mutations	annotations
ENSG00000138413	IDH1	isocitrate dehydrogenase (NADP(+)) 1	2q34	protein_coding	394	513	76.80	624	18289	3.41	511	1	0.20	9	1.76	15	2.94	0	0.00	4	Cancer Gene Census
ENSG00000141510	TP53	tumor protein p53	17p13.1	protein_coding	240	513	46.78	5738	18289	31.37	511	0	0.00	7	1.37	9	1.76	1	0.20	169	Cancer Gene Census
ENSG00000085224	ATRX	ATRX chromatin remodeler	Xq21.1	protein_coding	187	513	36.45	902	18289	4.93	511	0	0.00	0	0.00	0	0.00	0	0.00	190	Cancer Gene Census
ENSG00000079432	CIC	capicua transcriptional repressor	19q13.2	protein_coding	110	513	21.44	531	18289	2.90	511	0	0.00	20	3.91	234	45.79	0	0.00	96	Cancer Gene Census
ENSG00000162613	FUBP1	far upstream element binding protein 1	1p31.1	protein_coding	45	513	8.77	248	18289	1.36	511	2	0.39	11	2.15	177	34.64	1	0.20	42	Cancer Gene Census
ENSG00000121879	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	3q26.32	protein_coding	41	513	7.99	1798	18289	9.83	511	4	0.78	11	2.15	23	4.50	0	0.00	29	Cancer Gene Census
ENSG00000181143	MUC16	mucin 16, cell surface associated	19p13.2	protein_coding	41	513	7.99	3381	18289	18.49	511	0	0.00	39	7.63	6	1.17	0	0.00	56	Cancer Gene Census
ENSG00000148400	NOTCH1	notch receptor 1	9q34.3	protein_coding	38	513	7.41	905	18289	4.95	511	2	0.39	29	5.68	37	7.24	0	0.00	42	Cancer Gene Census
ENSG00000146648	EGFR	epidermal growth factor receptor	7p11.2	protein_coding	31	513	6.04	964	18289	5.27	511	45	8.81	58	11.35	0	0.00	0	0.00	22	Cancer Gene Census
ENSG00000196712	NF1	neurofibromin 1	17q11.2	protein_coding	29	513	5.65	1008	18289	5.51	511	0	0.00	6	1.17	14	2.74	1	0.20	38	Cancer Gene Census
ENSG00000171862	PTEN	phosphatase and tensin homolog	10q23.31	protein_coding	25	513	4.87	1351	18289	7.39	511	1	0.20	1	0.20	97	18.98	3	0.59	23	Cancer Gene Census
ENSG00000127616	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	19p13.2	protein_coding	24	513	4.68	679	18289	3.71	511	0	0.00	40	7.83	6	1.17	0	0.00	26	Cancer Gene Census
ENSG00000145675	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	5q13.1	protein_coding	22	513	4.29	609	18289	3.33	511	2	0.39	4	0.78	24	4.70	0	0.00	22	Cancer Gene Census
ENSG00000182054	IDH2	isocitrate dehydrogenase (NADP(+)) 2	15q26.1	protein_coding	21	513	4.09	161	18289	0.88	511	2	0.39	11	2.15	45	8.81	0	0.00	6	Cancer Gene Census
ENSG00000117713	ARID1A	AT-rich interaction domain 1A	1p36.11	protein_coding	17	513	3.31	1283	18289	7.02	511	2	0.39	10	1.96	186	36.40	0	0.00	20	Cancer Gene Census
ENSG00000183337	BCOR	BCL6 corepressor	Xp11.4	protein_coding	17	513	3.31	561	18289	3.07	511	0	0.00	0	0.00	0	0.00	0	0.00	19	Cancer Gene Census
ENSG00000140262	TCF12	transcription factor 12	15q21.3	protein_coding	13	513	2.53	210	18289	1.15	511	1	0.20	5	0.98	59	11.55	0	0.00	14	Cancer Gene Census
ENSG00000164796	CSMD3	CUB and Sushi multiple domains 3	8q23.3	protein_coding	13	513	2.53	2405	18289	13.15	511	23	4.50	66	12.92	4	0.78	0	0.00	15	Cancer Gene Census
ENSG00000119772	DNMT3A	DNA methyltransferase 3 alpha	2p23.3	protein_coding	11	513	2.14	386	18289	2.11	511	1	0.20	8	1.57	14	2.74	0	0.00	11	Cancer Gene Census
ENSG00000167548	KMT2D	lysine methyltransferase 2D	12q13.12	protein_coding	11	513	2.14	1504	18289	8.22	511	1	0.20	9	1.76	58	11.35	1	0.20	17	Cancer Gene Census
ENSG00000189079	ARID2	AT-rich interaction domain 2	12q12	protein_coding	11	513	2.14	585	18289	3.20	511	1	0.20	9	1.76	60	11.74	1	0.20	16	Cancer Gene Census
ENSG00000196159	FAT4	FAT atypical cadherin 4	4q28.1	protein_coding	11	513	2.14	1628	18289	8.90	511	1	0.20	4	0.78	78	15.26	0	0.00	17	Cancer Gene Census
ENSG00000198354	DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	Xq25	protein_coding	11	513	2.14	477	18289	2.61	511	0	0.00	0	0.00	0	0.00	0	0.00	11	Cancer Gene Census
ENSG00000083857	FAT1	FAT atypical cadherin 1	4q35.2	protein_coding	10	513	1.95	1201	18289	6.57	511	1	0.20	7	1.37	106	20.74	0	0.00	15	Cancer Gene Census
ENSG00000168702	LRP1B	LDL receptor related protein 1B	2q22.1, 2q22.2	protein_coding	10	513	1.95	2128	18289	11.64	511	1	0.20	10	1.96	14	2.74	0	0.00	20	Cancer Gene Census
ENSG00000047936	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	6q22.1	protein_coding	9	513	1.75	673	18289	3.68	511	0	0.00	2	0.39	67	13.11	0	0.00	9	Cancer Gene Census
ENSG00000153201	RANBP2	RAN binding protein 2	2q13	protein_coding	9	513	1.75	598	18289	3.27	511	1	0.20	8	1.57	7	1.37	0	0.00	10	Cancer Gene Census
ENSG00000181555	SETD2	SET domain containing 2, histone lysine methyltransferase	3p21.31	protein_coding	9	513	1.75	718	18289	3.93	511	1	0.20	5	0.98	46	9.00	0	0.00	11	Cancer Gene Census
